Word,Translation,Level,Page
about,אודות,1,17
as,כמו,1,17
both,שניהם,1,17
comparatively,באופן יחסי,1,17
correspondingly,בהתאמה,1,17
e.g.,לדוגמה,1,17
equally,במידה שווה,1,17
for example,לדוגמה,1,17
for instance,לדוגמה,1,17
identically,באופן זהה,1,17
in other words,במילים אחרות,1,17
in the same way,באותו אופן,1,17
just as,בדיוק כמו,1,17
like,כמו,1,17
likewise,"כמו -כן, באותו אופן",1,17
similarly,באופן דומה,1,17
such as,כמו למשל,1,17
above all,מעל לכל,1,17
absolutely,לחלוטין,1,17
certainly,"בהחלט, בוודאי",1,17
chiefly,בעיקר,1,17
especially,במיוחד,1,17
essentially,"בעיקרו, במהותו",1,18
however,בכל דרך,1,18
in fact,למעשה,1,18
in general,באופן כללי,1,18
in particular,במיוחד,1,18
incidentally,דרך אגב,1,18
indeed,בהחלט,1,18
mainly,בעיקר,1,18
markedly,בצורה ניכרת,1,18
namely,"במיוחד, כלומר",1,18
notably,ראוי לציון,1,18
of course,"כמובן, בוודאי",1,18
particularly,"במיוחד, בפרט",1,18
primarily,בעיקר,1,18
significantly,באופן משמעותי,1,18
specifically,במיוחד,1,18
surely,ללא ספק,1,18
surprisingly,במפתיע,1,18
too,יותר מידי,1,18
truly,באמת,1,18
undoubtedly,ללא ספק,1,18
additionally,בנוסף,1,18
along with,יחד עם,1,19
also,גם,1,19
as well as,כמו גם,1,19
aside from -,חוץ מ,1,19
besides,בנוסף על,1,19
besides -,"מלבד, חוץ מ",1,19
but -,"מלבד, חוץ מ",1,19
coupled with,יחד עם,1,19
except -,"מלבד, חוץ מ",1,19
furthermore,זאת ועוד,1,19
in addition,בנוסף,1,19
including,כולל,1,19
moreover,זאת ועוד,1,19
not only,לא רק,1,19
not to mention,שלא לדבר על,1,19
together with,יחד עם,1,19
too,גם,1,19
with,"באמצעות, עם",1,19
without,"מבלי, ללא",1,19
despite,למרות,1,19
even so,אף על פי כן,1,19
even though -,למרות ש,1,19
however,למרות זאת,1,19
in spite of,למרות,1,19
nevertheless,למרות זאת,1,19
nonetheless,למרות זאת,1,19
after,אחרי,1,20
afterwards,לאחר מכן,1,20
again,שוב,1,20
as -,"כאשר, כש",1,20
as long as,כל עוד,1,20
as soon as -,"כאשר, ברגע ש",1,20
at first,בהתחלה,1,20
at last,סוף סוף,1,20
before,לפני,1,20
by -,"עד, לא יאוחר מ",1,20
currently,"כרגע, נכון לעכשיו",1,20
during,"תוך כדי, במשך",1,20
earlier,קודם לכן,1,20
eventually,לבסוף,1,20
finally,"לבסוף, סוף סוף",1,20
first of all,ראשית,1,20
former,"קודם, לשעבר",1,20
further,בהמשך,1,20
immediately,מיד,1,20
in a moment,בעוד רגע,1,20
in due time,בבוא העת,1,20
initially,בתחילה,1,20
instantly,מיד,1,20
last,אחרון,1,20
later,מאוחר יותר,1,20
meanwhile,בינתיים,1,20
next,הבא,1,20
now,עכשיו,1,21
once (,פעם )בעבר,1,21
once -,ברגע ש,1,21
past,"עבר, שעבר",1,21
presently,כעת,1,21
previously,"הקודם, לפני -כן",1,21
prior to,"קודם ל -, לפני",1,21
shortly,"בקיצור, בקרוב",1,21
simultaneously,בו זמנית,1,21
since,מאז,1,21
soon,"בהקדם, מוקדם",1,21
still,"עדיין, למרות זאת",1,21
suddenly,לפתע,1,21
then,אז,1,21
to begin with,בתור התחלה,1,21
until -,עד ש,1,21
until now,עד עתה,1,21
when -,"כאשר, כש",1,21
whenever,"כש -, מתישהו",1,21
while -,בזמן ש,1,21
yet,"עדיין, בכל זאת",1,21
backward,לאחור,1,21
down,למטה,1,21
forward,"קדימה, לפנים",1,21
further,לקדם,1,21
left,שמאלה,1,21
right,ימינה,1,21
sideways,הצידה,1,21
toward,"אל, אל עבר",1,22
upon,על,1,22
upside down,הפוך,1,22
about,"ליד, בערך",1,22
above,מעל,1,22
across,"בצד השני, לרוחב",1,22
adjacent to,ליד,1,22
against,"כנגד, ממול",1,22
ahead of,"לפני, לפנים",1,22
along,לאורך,1,22
alongside,"לצד, במקביל",1,22
amid,"בקרב, בין",1,22
among,"בקרב, בין",1,22
around,מסביב,1,22
at -,"אצל, ב",1,22
before,"לפני, מול",1,22
behind,מאחורי,1,22
below,מתחת,1,22
beneath,מתחת,1,22
beside,ליד,1,22
between,בין,1,22
beyond,מעבר,1,22
by -,"ליד, בסמוך ל",1,22
close,קרוב,1,22
distant,מרוחק,1,22
elsewhere,במקום אחר,1,22
farther,"הלאה, יותר",1,22
here,כאן,1,23
in,"ב -, בתוך",1,23
in front of,"בחזית של, מול",1,23
inside,"בתוך, פנים",1,23
into,אל תוך,1,23
latter,"שני, אחרון",1,23
near,קרוב,1,23
nearby,"ליד, קרוב",1,23
next to,ליד,1,23
of -,"של, מ",1,23
on,על,1,23
on top of,"על, מעל",1,23
opposite,"מנוגד, ממול",1,23
outside,חוץ,1,23
outside,בחוץ,1,23
over,"על, מעל",1,23
there,שם,1,23
under,מתחת,1,23
underneath,מתחת,1,23
up,למעלה,1,23
where,"היכן, איפה",1,23
wherever,"בכל מקום, לא משנה היכן",1,23
within,בתוך,1,23
albeit,אף על פי,1,23
although -,למרות ש,1,23
but,"אך, אבל",1,23
contradictory,סותר,1,23
contrary -,"להפך, בניגוד ל",1,23
conversely,לעומת זאת,1,24
different from -,שונה מ,1,24
in comparison,בהשוואה,1,24
in contrast to -,בניגוד ל,1,24
instead,במקום,1,24
instead of,במקום,1,24
on the contrary,בניגוד לכך,1,24
or,או,1,24
otherwise,אחרת,1,24
rather,עדיף,1,24
rather than -,"במקום, יותר מ",1,24
regardless,"למרות, ללא קשר",1,24
though,למרות זאת,1,24
though -,למרות ש,1,24
unlike,שלא כמו,1,24
vice versa,להיפך,1,24
where -,בעוד ש,1,24
whereas -,בעוד ש,1,24
yet,"אך, אולם",1,24
after all,אחרי הכל,1,24
because,בגלל,1,24
because of,בגלל,1,24
